videoId;color_1_name;color_2_name;color_3_name
6_o8EwK-m7o;gray;pink;gray
YKeP0l1VGzE;gray;gray;gray
NeFjybzGbzc;black;gray;gray
LrCCjX4i76I;black;gray;gray
7K1mPMaIkM0;black;gray;gray
qYhEzL8Uer0;gray;gray;gray
VQ71HXzj2hw;black;brown;blue
CFCudtim9fc;black;brown;gray
bLGChgtO0J4;black;gray;gray
FO0Bm8mc7lE;gray;gray;blue
9KTbxKz8VXI;gray;gray;gray
k5O_6wMoxMI;black;gray;gray
T2IDMnZRncg;gray;gray;gray
YvyktSOfklE;pink;black;brown
dp4I9DIK_pk;gray;black;gray
MZGhyFvTd0w;black;pink;gray
pPsl5DMq48M;gray;gray;gray
AOChAU439fo;black;gray;gray
tgzthnNILPw;gray;brown;gray
Pfdxph58PuE;gray;gray;gray
jUz0MKf0RJs;black;gray;gray
DnTzsWM_gbQ;black;gray;gray
wzUxVxicKao;black;gray;gray
LOHHwjo8ELM;black;gray;gray
ADqb-Osjbfc;gray;gray;gray
o0-_QtR7d7g;black;gray;blue
mX2xTdDdTEU;gray;gray;gray
9ZyVysUOqhA;black;gray;gray
aaobYirvGfk;gray;beige;green
gCNpKCadKLE;gray;gray;gray
U1-XCpe_0Kw;gray;gray;gray
yi0xoaE2AuY;gray;gray;gray
-ee1-0gnVBg;black;gray;gray
sXWStlkHs5Y;gray;gray;gray
z1zmGTVsgRU;black;gray;gray
AnY96yj04OE;gray;gray;gray
_tGO3xVKkTE;gray;gray;gray
BBlmY6xPK5U;black;gray;gray
J2gOrZ-xgK8;gray;gray;gray
B4ut0uoL10E;black;brown;gray
kXCszLo8fec;gray;gray;gray
tK1m5wKCEJ0;gray;gray;gray
mqpe6hYNX1Q;gray;gray;gray
3SMBV0gHVKQ;gray;gray;gray
65oYW3ElXgg;gray;brown;gray
XkV2lnMVQsg;black;gray;gray
FTqUpolCvpk;black;brown;gray
toCHFZ7AaEA;green;gray;gray
s1HGZxNsR2I;black;brown;gray
cbADyyObE8M;black;brown;gray
xtF4ll-yazw;black;gray;gray
h4L5JoRP86E;blue;brown;gray
iH2P0lqk5No;gray;gray;gray
tg_XFehl0gg;gray;gray;gray
H7o1A6oX1cY;black;gray;blue
i_lTIXTUZAM;gray;gray;gray
vWYfPxNMO4w;gray;brown;gray
Sr_Bep9MYIg;black;gray;gray
qtiNAKNG_Wg;gray;gray;gray
rk392bPAO7U;gray;gray;blue
KFOkeSC6MDE;black;gray;gray
er5hzkHqJ7A;black;pink;gray
oRBXmMp0gzI;black;gray;blue
CG1LhL0vuwM;pink;black;brown
1CuOlIBRsLM;gray;gray;gray
GOzw489TxpY;gray;brown;green
ZFGDlEQ457w;gray;brown;gray
7o8jNZx2uDo;gray;purple;gray
poxSWWq9rc4;black;gray;gray
1Pio3Ib13WA;black;gray;gray
k0BTYJXC4lg;gray;brown;pink
8U14axFR88w;pink;black;green
uxjdr63A6XM;gray;black;gray
mU7CtnI5uoI;gray;gray;gray
e7P-RM_NgpA;black;gray;gray
jw2oBwsIipY;gray;gray;gray
ZCUr1A1cV6A;gray;black;gray
z9OpWQnohZk;gray;gray;gray
Hv_tPGr-iIo;black;gray;gray
oTEstRzPbhU;black;brown;blue
